building_name,net_leased_area,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sumwithd
'district1_6c70d36a-3ab9-4126-b670-2046bc56e47d',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.68486454596,894.292475190091,753.1526743981314,-430.10546875,None,None,None,None,6202.602726610519,None,155.84372893833657,850.7684123046452,344.14756130894955,6009.599232904211,-5690.479508378622,74795.98620745084,69105.50669907223
'district1_e9984c20-d14c-4710-bbe3-3956949df381',201.611572265625,"(2010,2015)",-296.65900857967375,0.4929846992810152,63.86866812032425,60015.62505615773,894.2909330390921,753.1514688645663,-430.1046875,None,None,None,None,6202.58484625608,None,155.84344586145872,850.7669904904428,344.147475933697,6009.5935882420745,-5690.474976466808,74795.89911734515,69105.42414087834
'district1_b7a089e8-cba0-4900-b1f1-65464d8a8f65',201.611572265625,"(2010,2015)",-296.65900857967375,0.4929846992810152,63.86866812032425,60015.62503939745,894.2909330110741,753.1514688092138,-430.1046875,None,None,None,None,6202.584846433434,None,155.84344586145872,850.7669904483644,344.14747574985006,6009.593586446568,-5690.474974489718,74795.8990986574,69105.4241241677
'district1_0dec4cb3-74a5-4170-8ec8-1f6abbcdd558',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.68486440101,894.2924751898486,753.1526743976526,-430.10546875,None,None,None,None,6202.596112785904,None,155.84372893833657,850.7684123042814,344.14756130735964,6009.599232888683,-5690.479508361524,74795.97959346307,69105.50008510155
'district1_5d0255ad-a6e2-46b3-a8f6-6f3ebbc90ada',201.611572265625,"(2010,2015)",-296.65900857967375,0.4929846992810152,63.86866812032425,60015.62505615773,894.290933039092,753.1514688645663,-430.1046875,None,None,None,None,6202.584846650058,None,155.84344586145872,850.7669904904428,344.147475933697,6009.593588242073,-5690.474976466808,74795.89911773913,69105.42414127232
'district1_459495be-43af-468d-9a53-0e176f3753e1',201.6123046875,"(2010,2015)",-296.6600862933429,0.49298649021381596,63.868900144751876,60015.74468197071,894.2940173561958,753.1538799615404,-430.10625,None,None,None,None,6202.61399313734,None,155.8440120152144,850.7698341415348,344.14764678332546,6009.6048785344165,-5690.484041356409,74796.06669390027,69105.58265254386
'district1_9ed79533-c23b-4ed1-b037-f699172e1f02',201.611572265625,"(2010,2015)",-296.65900857967375,0.4929846992810152,63.86866812032425,60015.62505703133,894.2909330405524,753.1514688674515,-430.1046875,None,None,None,None,6202.591460489046,None,155.84344586145872,850.7669904926361,344.1474759432797,6009.5935883356615,-5690.474976569861,74795.9057325614,69105.43075599153
'district1_c35c9df4-1c37-436b-a339-7718d108b599',201.6112060546875,"(2010,2015)",-296.65846972283913,0.49298380381461476,63.868552108110435,60015.5652273652,894.2893908539836,753.1502632636141,-430.10390625,None,None,None,None,6202.58019402274,None,155.8431627845809,850.7655686250133,344.1473903346254,6009.587941394051,-5690.470442148044,74795.8252323938,69105.35479024576
'district1_7df316fd-a751-4ae4-adb1-24ad8ef93da0',201.6123046875,"(2010,2015)",-296.6600862933429,0.49298649021381596,63.868900144751876,60015.74468896657,894.2940173678908,753.153879984645,-430.10625,None,None,None,None,6202.61399296557,None,155.8440120152144,850.7698341590985,344.14764686006447,6009.604879283876,-5690.4840421816625,74796.06670160293,69105.58265942127
'district1_4fbc278b-81c3-4cd5-900c-4d688b5bc9c4',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.68487154184,894.2924752017858,753.1526744212359,-430.10546875,None,None,None,None,6202.6027267673935,None,155.84372893833657,850.7684123222091,344.14756138568873,6009.59923365367,-5690.479509203876,74795.98621548217,69105.5067062783
'district1_99f1f07b-1ab7-4196-be01-ec30bd0f52e0',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.6848649832,894.2924751908217,753.1526743995754,-430.10546875,None,None,None,None,6202.6027266538185,None,155.84372893833657,850.7684123057429,344.14756131374577,6009.599232951051,-5690.479508430201,74795.9862079863,69105.50669955609
'district1_79a8e97b-9d9e-46a0-8c3f-0f72870a9e61',201.611572265625,"(2010,2015)",-296.65900857967375,0.4929846992810152,63.86866812032425,60015.62504508147,894.2909330205761,753.1514688279859,-430.1046875,None,None,None,None,6202.591460144906,None,155.84344586145872,850.7669904626348,344.1474758121993,6009.5935870554895,-5690.474975160221,74795.90571876673,69105.43074360651
'district1_e60413fb-979d-4150-9f5b-bbf2ba04767a',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.684865274736,894.2924751913092,753.1526744005382,-430.10546875,None,None,None,None,6202.602726691214,None,155.84372893833657,850.7684123064749,344.14756131694367,6009.599232982283,-5690.479508464591,74795.98620835184,69105.50669988725
'district1_643369d9-68e6-4c3f-8d82-af6595b40ee9',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.68487197908,894.2924752025167,753.15267442268,-430.10546875,None,None,None,None,6202.60272684521,None,155.84372893833657,850.7684123233068,344.1475613904849,6009.59923370051,-5690.479509255454,74795.98621605214,69105.50670679669
'district1_77af6bab-9877-4229-82da-7ba525781e63',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.68487197908,894.2924752025167,753.15267442268,-430.10546875,None,None,None,None,6202.6027269518945,None,155.84372893833657,850.7684123233068,344.1475613904849,6009.59923370051,-5690.479509255454,74795.98621615882,69105.50670690337
'district1_57d29a28-a3e6-4a25-96a1-ad8fb72bf1a4',201.6123046875,"(2010,2015)",-296.6600862933429,0.49298649021381596,63.868900144751876,60015.744679785115,894.2940173525421,753.1538799543223,-430.10625,None,None,None,None,6202.61399256743,None,155.8440120152144,850.7698341360476,344.14764675935123,6009.604878300278,-5690.484041098592,74796.0666908703,69105.5826497717
'district1_1fb3cb66-5dc2-4cef-821c-a3030b86cbab',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.6848649832,894.2924751908218,753.1526743995754,-430.10546875,None,None,None,None,6202.602727042717,None,155.84372893833657,850.7684123057429,344.14756131374577,6009.599232951051,-5690.4795084302,74795.9862083752,69105.50669994499
